section_id,course_num,tid,class_time,room_no
523893,446650,569297,Monday 22:55,380757
244555,922737,242756,Wednesday 12:13,227973
804333,790866,767986,Wednesday 22:32,422992
221066,890923,369859,Saturday 08:54,224758
908927,603174,750426,Tuesday 19:31,912053
717525,684919,281143,Saturday 11:51,247288
873458,720660,365422,Saturday 12:15,478853
471627,915181,226654,Thursday 23:44,763340
740915,275107,767986,Wednesday 10:03,491175
408960,691802,258733,Friday 19:21,858304
265778,305482,903310,Monday 05:18,548613
739866,433670,125054,Sunday 22:10,545841
854992,758862,242756,Friday 22:41,328799
551937,378984,665844,Thursday 03:43,383110
123603,717945,582120,Sunday 08:51,917516
333036,251222,682827,Sunday 06:40,313202
770020,774990,436552,Saturday 21:29,266296
258298,146250,111898,Saturday 00:11,549706
260326,746444,989773,Sunday 11:41,949692
279535,685449,750426,Friday 00:36,139670
997713,517185,745646,Saturday 07:25,498809
159045,925761,369859,Thursday 01:29,783109
122460,493385,325155,Wednesday 10:34,709937
629093,669224,523867,Friday 10:01,565518
281684,981334,656078,Friday 18:57,969742
413035,125564,896167,Thursday 09:03,131341
682456,203181,893476,Tuesday 06:40,125688
825907,723599,383379,Friday 11:11,676459
590341,837280,432181,Tuesday 15:45,214864
629141,219472,289490,Sunday 11:27,630998
121350,303503,860381,Sunday 19:36,429062
415827,973993,989773,Wednesday 08:28,262784
806345,620848,582120,Thursday 07:24,547681
846477,723638,860381,Thursday 06:04,229144
466580,259854,414424,Saturday 15:09,303181
833756,762630,409003,Wednesday 12:27,904532
848619,714133,715093,Wednesday 15:22,223176
254240,578075,383379,Sunday 09:00,678036
414769,855496,365422,Monday 10:24,775442
162867,273393,235089,Monday 12:26,666533
276169,404421,776028,Tuesday 20:48,556742
823021,754053,559303,Thursday 05:34,702983
239717,236194,393802,Sunday 06:41,505246
362917,324528,130613,Thursday 07:50,881624
171713,231416,361385,Monday 00:21,822657
486130,809631,820241,Saturday 21:58,272056
832514,342853,236323,Sunday 23:26,542429
804079,764569,714840,Sunday 09:20,715594
528196,961525,383379,Friday 04:07,163031
108893,917579,941225,Wednesday 03:02,333284
613761,926225,125287,Monday 16:56,218399
553912,868758,776028,Sunday 13:40,162036
127051,862226,749696,Tuesday 19:02,943090
516509,472937,524866,Wednesday 13:45,129056
391786,245694,510204,Thursday 05:51,480491
476947,917579,325155,Sunday 13:53,498722
699210,847496,235089,Thursday 10:16,448708
147712,869394,409003,Wednesday 02:03,811089
730167,300426,389772,Saturday 18:17,647127
447497,932880,235089,Friday 01:05,789387
136517,634435,523867,Friday 17:50,573640
522044,688300,270544,Thursday 03:33,905041
572775,642527,943249,Wednesday 20:40,401819
707367,729670,258733,Monday 01:49,329560
223251,973863,979141,Wednesday 06:00,445471
928042,674867,559303,Wednesday 06:30,389250
217315,100701,621128,Sunday 19:41,807025
213784,974933,230917,Sunday 22:45,333957
963970,554104,715093,Saturday 16:33,159988
766339,923305,414424,Sunday 19:51,944983
617286,932978,886424,Saturday 15:34,575763
857648,443535,130613,Sunday 15:04,846766
812729,843748,432181,Friday 14:17,280203
295539,696362,860381,Saturday 21:53,179196
499265,485429,745646,Saturday 15:19,369387
112403,886090,682827,Saturday 07:32,182305
642460,309440,409003,Friday 00:02,626269
768889,918580,976925,Saturday 17:18,756443
842997,883457,893476,Tuesday 09:37,485004
611756,661361,475219,Saturday 04:09,846877
936034,901307,682827,Tuesday 07:15,493831
168572,746444,389772,Tuesday 22:51,801496
662414,471523,475219,Sunday 18:32,774570
341495,741534,569297,Thursday 21:40,798927
889322,305482,656078,Thursday 14:31,972098
181981,426740,997344,Sunday 13:30,657364
337014,278053,896167,Thursday 15:18,305064
131407,742194,997344,Friday 03:47,387488
275353,924262,607040,Wednesday 23:16,828702
242882,187758,559303,Tuesday 13:31,298208
607361,725395,357573,Tuesday 10:40,360583
199286,205913,226654,Friday 21:07,330921
810592,319271,125287,Monday 15:09,583511
628711,770676,409003,Monday 20:13,140224
127668,259682,523867,Friday 14:47,713648
683450,690466,560632,Monday 05:37,383138
478274,845833,997344,Friday 00:17,695809
652847,388280,582120,Friday 05:07,546029
997399,342118,896167,Wednesday 22:08,117547
926573,893126,656078,Saturday 15:26,426169
665569,803223,714840,Friday 07:24,957734
735989,372912,682827,Tuesday 13:04,910222
772427,380799,997344,Sunday 04:05,531804
999526,134194,393802,Sunday 08:24,232706
850490,971242,230917,Wednesday 03:04,897719
867294,338100,235089,Monday 15:57,192414
605977,555640,226654,Thursday 03:32,318304
527109,557862,441947,Friday 08:50,196897
609250,275747,473516,Tuesday 09:02,945268
627806,886175,665844,Friday 02:35,588643
